HEB	10	6	होमबलियों और पापबलियों से तू प्रसन्न नहीं हुआ।	Noako katha boehakom baisa- uako khan Masi Jisuren bhage sap'dap'icem hoyok’a, biswas reak’ arem pan]a aguakat' bhage siknat reak’ kathakote asul hara- akanic'ge. 'Bhӧna ar a!aї` bakat’ kahniko pesraome. #Ar Isor-bhokti lagitť' sara bhańjaok'me; ente hormo bhańjaok'ma thorage porhoan, men- khan isor-bhokti do joto sec’ por- ћhoanak'ae, onare do nahak'` reak’ ar darakan jion reak’ doK`aK` me- nak`deїe. Sari katha kana noa do, ar joto lekate aK {an lekge. Ente ona lagit mehnot arbon lagiã para- oK`Kana, jiwetť Isorrebon asakan iate, one uni joto manwakoren BaBancaoic’ kane, asokaete patiau- korenge.
HEB	10	3	परन्तु उनके द्वारा प्रतिवर्ष पापों का स्मरण हुआ करता है।	Abobo bepatiarok’ khan, uni ao paїїarde tahēakan tahen kana; Ente ac'tet' do ohoe Ban dare!ena. Andoc ocoakan KaK'tnїyїc'
HEB	10	14	क्योंकि उसने एक ही चढ़ावे के द्वारा उन्हें जो पवित्र किए जाते हैं, सर्वदा के लिये सिद्ध कर दिया है।	Noako disa ocokot ar Pro- bhu satanre kajiãukom, jemon katha reak’ aloko khanda khandi, okaѓak'ceѓ porhoanak'hӧ Ban Kan, eken ak'djotko reak’ Bhandia bhatok' lagit' kan. 'SKirityѓџjon- te, jemon isor satanre bidau tar- haoic'em teñgon, bae lajao ocoK' kamia, sariak’ reak’ katha thikteye beoharet'kanic'ge. '°MenKhan bhõnd bhackao Ka{haKo'do deae- me, ente onako do eken isor be- bhoktire barti laha ik'aia, ar onko- ak’ katha do sea budurok’ dhao lekae charao idia. Onko modre Nirnenaeo ar Philetus menak'ki- na, one inKїn do sariak'Kin bag- daoakat', onekin menet'te, meѓ’ Beredok` do hoe cukau akana mente; ar adom adomkoak' bis- waskin aulaueda. '?Enrehb Isorak' kajak’ neo do tengo tarhaoakangea, noa mohor chapante, Banta Probhu do actenkoe badaeyet’- koa, ar, ProhiaK' ñutum ñuñum ti ke tiї hor do bedhorom khon saharakanko tahenma. °MenKhan nec’ naprak'orak'te eken sona ar rupa reak’ bhajanko do Ban, bickom kat ar hasa reak’ hō me- nak'a, ar adom do manot lagit',ar adom do bemanot lagit’ge. ?'Ado jahae hor nonkanko khon apnare 5aphaK` khan, uni do manot lagit' bhajane hoyok'a, sonot ocoaKan, orak’ kisār lagit' bhage kajren, joto bhage kami lagit' tear ocoakange. ??Menkhan kora paria reak’ baric’ sanako.khon Airjoite, ar dhorom, biswas, dular, sulukge khudaume, sapha ontorte Probhu dohaeae- kanko tuluc’. ?Lelha ar hohak' tetha barae do phesraome; amem badaea, onako do reїepeїeye janam ocoyeda. *^Menkhan Pro- bhuren golam do alogeye retepe- tek'ma, bickom sanamko sec: lulu bachuteye tahenma, lai cecet're lekic',sak'haoic', teñgo dak'ramko mahīrte dantao sok'jheyic'ge; 3pasere pase sariak’ badae oroma mente Isor do mon acire etaї- koge. “ar Soetan reaK` pasi khon- ko cetaoenge, uni hotete oneko sap` ocoakan uniak’ sana lekae lagit'. TIMOTHI LAGIT PAUL APOSTOAK DOSAR CITH} 3, 4 363 Ses din ko Menkhan noa badaeme, Banta, ses dinkore adi muhimanak' okteko darawa. 2Enie manwako do apnar duk'larkoko hoyok'a, taka poesa duk'larko, ak'dopko, dho- mokiako, hek'nostako, enga apa bebak'taoko, gun ban mak'naoko, besonotko, *bin duk'larko, besulu- KoK'Ko, okta cik'ntako, bin sambra- oK'Ko, kurmutahako hadeaK` Ban aiKarko idagabajko, aurahako badaite phulauakanko, Isor duk’ lar kћon rij toide barti duk'larko, ?one onko Isor-bhokti reak’ dekhaok'tet' ma menak'tako men- khan ona reak’ dareko banakat', nonkanko khon saharok'me. Ente nonkanko modrenge onko do, okoe orak’ orak’ chapkao bolokate lilhi aimaikoko hatet'ko, one onko kai ghatiteko tenakan ar nana hunar Barїc' sanateko ayur ocok'- kan, "oKoe jaogeko cet'jonkan, enhb sariak’ reak’ badae orom do tis hō Bako nat dareak'kan. 5Ar cetť' leka Jannes ar Jambres do Mosekin tengo daramlede onkage noko hb sariak'ko tengo daramet' kana, mon bhanñgla bhatakantako ar biswas okodagetako horge. %Menkћhan ohoko laha idilena barti do; ente noKoaK' bebujtet' do sanam horko then sodorok'a, cet' leka unkinak’ hō hoyentakin. Ses sikhauna
LUK	10	21	उसी घड़ी वह पवित्र आत्मा में होकर आनन्द से भर गया, और कहा, \wj “हे पिता, स्वर्ग और पृथ्वी के प्रभु, मैं तेरा धन्यवाद करता हूँ, कि तूने इन बातों को ज्ञानियों और समझदारों से छिपा रखा, और बालकों पर प्रगट किया, हाँ, हे पिता, क्योंकि तुझे यही अच्छा लगा।\wj*	Ina dhinde Sonot Lire hula- senteye menkeda, Sarhaoet' meka- nań, E Baba, serma ar otren Pro- bhu, ente noako do akilan ar bu- danko khonem oko Yaohoakaaa, ar albudahako thenem sodoraka- da; hē, Baba, ente nonkaege am $atanre kusiak’ do hoeakana. 2rApii do sanamak'e jimaakawa- diña; ar okoe hb bako badaea Hopon okoe kanae mente Baba chada do, ar okoe ћӧ Bako badaea Baba okoe kanae mente Hopon chada do, ar uni okoe then Hopon sodoreye nitjon. Ado celako sec' acurente onko motogeye metat- Koa, °“Apepe ńeletťkanak’ko lele! te? do bhagangea, enteń laiape- Kana, apepe ńeletak'ko do adi utar nabiko ar rapajko nene! sanalet'”koa, menkhan bako neiak'a, arapepe an}oteї'KanaK'- Ko ak'ћjot sanaie Koa, rnenkhan Bako aljotiak'a. Mayaman samari hor reak’ phen
LUK	10	25	तब एक व्यवस्थापक उठा; और यह कहकर, उसकी परीक्षा करने लगा, “हे गुरु, अनन्त जीवन का वारिस होने के लिये मैं क्या करूँ?”	Ado ńelpe, mitten an guru bidaue lagit' їendoKaїeye menke- da, E guru, ceї il cekalere jaejug jion їi aiaarijona? COni doe meta- dea, Anre ceї olakana? Ce ekat parћaoeda? ” Adoe ror ruarkeda, Probhu amren Isor do amak’ gota ontorte, atak’ gota jiwite, amak’ gota darete aratak gota monte dularem; ar am adepaseren hor apnar leka dularem. ?Adoe meta- dea, Thikgem ror ruarkeda; onka- eme, endekhanem iiwedok'a. 2Menkhan uni do dhorom tarhao- k'e menwante Jisui metadea, Okoe kanae il adepaseren hor do?
LUK	10	35	\wj दूसरे दिन उसने दो दीनार निकालकर सराय के मालिक को दिए, और कहा, ‘इसकी सेवा टहल करना, और जो कुछ तेरा और लगेगा, वह मैं लौटने पर तुझे दे दूँगा।’\wj*	Uniye rororkan ќahekanrede sunagogren mukhiawak` orak’ khon hor hec'kateko metadea. Hoponeram doe bendaoena. cedak’ ado gurum haronea?
LUK	10	2	और उसने उनसे कहा, \wj “पके खेत बहुत हैं; परन्तु मजदूर थोड़े हैं इसलिए खेत के स्वामी से विनती करो, कि वह अपने खेत काटने को मजदूर भेज दे।\wj*	Khande uni do acurente acten celako ne1- kate Patrase dhomkaokedea, metadeae,; Eya Soetan, men їi saman khon do ocok'me; ente 1$or reak'ak'ko do Bat moneak'kana, menkhan tanma reaK'aK'Kode. `
LUK	10	34	\wj और उसके पास आकर और\wj*\it \+wj उसके घावों पर तेल और दाखरस डालकर\f + \fr 10:34 \fq उसके घावों पर तेल और दाखरस डालकर: \ft ये अक्सर घावों को चंगा करने के लिए दवा के रूप में इस्तेमाल किया जाता था\f*\+wj*\it*\wj पट्टियाँ बाँधी, और अपनी सवारी पर चढ़ाकर सराय में ले गया, और उसकी सेवा टहल की।\wj*	Ado gadel horko acten cela- ko tuluc'e hoho sorketkoa, are metat'koa, Jahaede їn tayomte hi- - juk’ sanaye khanñ, ac doe BanoK”- ma, ar acak’ kruse gogma, ar ile pan)anta. *Ente jahaede ac'aK' jiwi bañcao sanaye, uni do onae khuaua; ar jahade ih ar bhage sòmbat iate ac'ak'’ jiwiye khuau, uni do onae bañħcaotaea. 3Enie -mitten hor gota dharti labte ac'aK' jiwiye khuaule khan, ceť porho hoyok'taea? Ente mitten hor acak' jiwi bodolte do cete emkeä? Ente jahaede noa latghat arkaian pirhirenko then її iate ar iñak’ kathako iaќeye lajaok’ khan, Manwa Hopon hō ac Apaќak' thonokre sonot dutkoanteye hijuk’re uni iateye Iajaok'a. Are metat'koa, Sarideћ meta- i? pekana, nonde ќendoakanko modre adom hor tenaK'Koa, one onko do toron oka lekate hō oho- Ko cakhalea, Isorak'’ raj dareante hec'akan auriko ne1 habic'’. Birire Borone pheraok’ kan |
LUK	10	1	और इन बातों के बाद प्रभु ने सत्तर और मनुष्य नियुक्त किए और जिस-जिस नगर और जगह को वह आप जाने पर था, वहाँ उन्हें दो-दो करके अपने आगे भेजा।	usul ocokok? Patal puri habic'em nirhaK`a. '®ApeaK` ak'hjotic’ do iñak'geye aћjota; ape nїhaїpeїc` do iñgeye nihātińa, ar il nihãteńic’ do kolakadińic geye nihãtea.
LUK	10	13	\wj “हाय खुराजीन! हाय बैतसैदा! जो सामर्थ्य के काम तुम में किए गए, यदि वे सोर और सीदोन में किए जाते, तो टाट ओढ़कर और राख में बैठकर वे कब के मन फिराते।\wj*	Ado Kaic gidrako uni thenko aguyet'ko tahëkana jemone jotet'- ko, ar celako do onko aK'diKan- koko dhomkaoketťkoa. '“MenKhan Jisu do ńelkateye eYareyena are metat'koa, Katic’ gidrako arak'ako- pe il then hijuk’; alope manakoa, ente 1$oraK' raj do nonkankoak”- kangea. 'Sarideћ metapekana, jahaede katic’ gidra leka 1$oraK' raj bae atan, uni do onare ohogeye bololena. ‘Ado onKoe hoborket'- koa ar banar tite capokateye bhor- a Koa. Kisar hor rean
